Road Code,Section Code,Road Name,Section Name,Direction,AVERAGE DAILY TRAFFIC - PCU,AVERAGE DAILY TRAFFIC - ADT,Private Vehicles,Trucks - Light,Trucks - Medium,Trucks - Heavy,Buses
F0135,010,ΚΑΛΟ ΧΩΡΙΟ - ΛΟΥΒΑΡΑΣ,ΚΑΛΟ ΧΩΡΙΟ - ΛΟΥΒΑΡΑΣ,ΔΥΟ ΚΑΤΕΥΘΥΝΣΕΙΣ,1096,887,594,188,62,11,32
F0136,010,Ε110 - ΑΓΙΟΣ ΠΑΥΛΟΣ,Ε110 - ΚΑΛΟ ΧΩΡΙΟ,ΔΥΟ ΚΑΤΕΥΘΥΝΣΕΙΣ,1353,1136,859,169,63,25,21
F0136,020,Ε110 - ΑΓΙΟΣ ΠΑΥΛΟΣ,ΚΑΛΟ ΧΩΡΙΟ - ΑΓΙΟΣ ΠΑΥΛΟΣ,ΔΥΟ ΚΑΤΕΥΘΥΝΣΕΙΣ,354,302,125,150,17,7,2
F0137,010,ΑΣΓΑΤΑ - ΚΑΛΑΒΑΣΟΣ,ΑΣΓΑΤΑ - ΚΑΛΑΒΑΣΟΣ,ΔΥΟ ΚΑΤΕΥΘΥΝΣΕΙΣ,264,223,93,109,16,2,2
F0138,010,ΚΑΛΟ ΧΩΡΙΟ - ΑΓΙΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ,ΚΑΛΟ ΧΩΡΙΟ - ΑΓΙΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ,ΔΥΟ ΚΑΤΕΥΘΥΝΣΕΙΣ,262,221,93,107,16,2,2
F0139,010,ΖΩΟΠΗΓΗ - ΑΓΙΟΣ ΘΕΟΔΩΡΟΣ,ΖΩΟΠΗΓΗ - ΑΓΙΟΣ ΘΕΟΔΩΡΟΣ,ΔΥΟ ΚΑΤΕΥΘΥΝΣΕΙΣ,429,305,114,130,39,11,11
F0140,010,ΠΑΡΑΚΑΜΠΤΗΡΙΟΣ ΖΩΟΠΗΓΗΣ,ΠΑΡΑΚΑΜΠΤΗΡΙΟΣ ΖΩΟΠΗΓΗΣ,ΔΥΟ ΚΑΤΕΥΘΥΝΣΕΙΣ,269,182,66,73,36,5,2
F0141,010,ΑΓΙΟΣ ΘΕΟΔΩΡΟΣ - ΑΓΙΟΣ ΙΩΑΝΝΗΣ,ΑΓΙΟΣ ΘΕΟΔΩΡΟΣ - ΑΓΙΟΣ ΙΩΑΝΝΗΣ,ΔΥΟ ΚΑΤΕΥΘΥΝΣΕΙΣ,230,176,73,75,21,5,2
F0144,010,ΚΕΛΛΑΚΙ - ΠΡΑΣΤΕΙΟ,ΚΕΛΛΑΚΙ - ΠΡΑΣΤΕΙΟ,ΔΥΟ ΚΑΤΕΥΘΥΝΣΕΙΣ,403,335,239,62,25,5,5
F0145,010,ΒΙΚΛΑ - ΚΕΛΛΑΚΙ,ΒΙΚΛΑ - ΚΕΛΛΑΚΙ,ΔΥΟ ΚΑΤΕΥΘΥΝΣΕΙΣ,260,196,34,130,30,2,n.a.
F0146,010,ΑΓΙΑ ΑΝΝΑ - ΨΕΥΔΑΣ,ΑΓΙΑ ΑΝΝΑ - ΨΕΥΔΑΣ,ΔΥΟ ΚΑΤΕΥΘΥΝΣΕΙΣ,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
F0147,010,Β1 - ΣΚΑΡΙΝΟΥ,Β1 - ΣΚΑΡΙΝΟΥ,ΔΥΟ ΚΑΤΕΥΘΥΝΣΕΙΣ,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
F0149,010,Α1 - Β1 (ΝΗΣΟΥ),Α1 - Β1 (ΝΗΣΟΥ),ΔΥΟ ΚΑΤΕΥΘΥΝΣΕΙΣ,3570,2906,1930,645,190,112,30
F0151,010,Ε108 - ΜΟΝΑΓΡΟΥΛΛΙ,Ε108 - ΜΟΝΑΓΡΟΥΛΛΙ,ΔΥΟ ΚΑΤΕΥΘΥΝΣΕΙΣ,1181,875,581,141,112,30,11
F0201,010,ΔΑΛΙ - ΠΟΤΑΜΙΑ,ΔΑΛΙ - ΠΟΤΑΜΙΑ,ΔΥΟ ΚΑΤΕΥΘΥΝΣΕΙΣ,1085,736,287,275,120,30,25
F0209,010,ΑΡΑΔΙΠΠΟΥ - ΡΙΖΟΕΛΙΑ,ΑΡΑΔΙΠΠΟΥ - ΡΙΖΟΕΛΙΑ,ΔΥΟ ΚΑΤΕΥΘΥΝΣΕΙΣ,2039,1686,833,676,95,71,11
F0210,010,ΒΙΟΜΗΧΑΝΙΚΗ ΑΡΑΔΙΠΠΟΥ - ΑΡΑΔΙΠΠΟΥ,ΒΙΟΜΗΧΑΝΙΚΗ ΑΡΑΔΙΠΠΟΥ - ΑΡΑΔΙΠΠΟΥ,ΔΥΟ ΚΑΤΕΥΘΥΝΣΕΙΣ,14475,12079,8456,2425,783,324,91
F0211,010,ΑΡΑΔΙΠΠΟΥ - ΑΒΔΕΛΛΕΡΟ,ΑΡΑΔΙΠΠΟΥ - ΑΒΔΕΛΛΕΡΟ,ΔΥΟ ΚΑΤΕΥΘΥΝΣΕΙΣ,1180,751,430,107,153,50,11
F0305,010,ΑΥΓΟΡΟΥ - ΞΥΛΟΦΑΓΟΥ,ΑΥΓΟΡΟΥ - ΞΥΛΟΦΑΓΟΥ,ΔΥΟ ΚΑΤΕΥΘΥΝΣΕΙΣ,2419,2040,1384,467,155,18,16
F0306,010,ΑΥΓΟΡΟΥ - ΦΡΕΝΑΡΟΣ,ΑΥΓΟΡΟΥ - ΦΡΕΝΑΡΟΣ,ΔΥΟ ΚΑΤΕΥΘΥΝΣΕΙΣ,1548,1204,302,729,120,48,5
F0307,010,Α309 - ΠΟΤΑΜΟΣ ΛΙΟΠΕΤΡΙΟΥ,Α309 - ΠΟΤΑΜΟΣ ΛΙΟΠΕΤΡΙΟΥ,ΔΥΟ ΚΑΤΕΥΘΥΝΣΕΙΣ,1147,919,472,333,43,55,16
F0309,010,ΦΡΕΝΑΡΟΣ - ΑΓΙΟΣ ΝΙΚΟΛΑΟΣ,ΦΡΕΝΑΡΟΣ - ΑΓΙΟΣ ΝΙΚΟΛΑΟΣ,ΔΥΟ ΚΑΤΕΥΘΥΝΣΕΙΣ,4102,3199,1285,1463,251,98,103
F0314,010,Ε307 - ΚΑΒΟ ΓΚΡΕΚΟ,Ε307 - ΚΑΒΟ ΓΚΡΕΚΟ,ΔΥΟ ΚΑΤΕΥΘΥΝΣΕΙΣ,646,610,503,89,14,2,2
F0315,010,Α3 - ΑΓΙΑ ΝΑΠΑ,Α3 - ΑΓΙΑ ΝΑΠΑ,ΔΥΟ ΚΑΤΕΥΘΥΝΣΕΙΣ,8128,7184,5050,1662,296,27,148
F0323,010,ΑΓΙΑ ΝΑΠΑ - ΜΑΚΡΟΝΗΣΟΣ,ΑΓΙΑ ΝΑΠΑ - ΜΑΚΡΟΝΗΣΟΣ,ΔΥΟ ΚΑΤΕΥΘΥΝΣΕΙΣ,3521,2869,1680,863,84,36,205
F0401,010,ΜΕΝΕΟΥ - ΔΡΟΜΟΛΑΞΙΑ,ΜΕΝΕΟΥ - ΔΡΟΜΟΛΑΞΙΑ,ΔΥΟ ΚΑΤΕΥΘΥΝΣΕΙΣ,7013,5773,3938,1215,324,166,130
F0402,010,ΚΙΤΙ - ΤΕΡΣΕΦΑΝΟΥ,ΚΙΤΙ - ΤΕΡΣΕΦΑΝΟΥ,ΔΥΟ ΚΑΤΕΥΘΥΝΣΕΙΣ,4936,3974,2973,521,182,196,103
F0405,010,ΑΛΑΜΙΝΟΣ - ΜΑΖΩΤΟΣ,ΑΛΑΜΙΝΟΣ - ΜΑΖΩΤΟΣ,ΔΥΟ ΚΑΤΕΥΘΥΝΣΕΙΣ,1967,1393,971,134,178,34,75
F0502,010,ΚΛΑΥΔΙΑ - ΤΕΡΣΕΦΑΝΟΥ,ΚΛΑΥΔΙΑ - ΤΕΡΣΕΦΑΝΟΥ,ΔΥΟ ΚΑΤΕΥΘΥΝΣΕΙΣ,1995,1265,709,191,173,182,9
F0503,010,ΑΝΑΦΩΤΙΑ - ΜΑΖΩΤΟΣ,ΑΝΑΦΩΤΙΑ - ΜΑΖΩΤΟΣ,ΔΥΟ ΚΑΤΕΥΘΥΝΣΕΙΣ,1960,1391,971,134,182,34,68
F0504,010,ΑΛΕΘΡΙΚΟ - Ε321,ΑΛΕΘΡΙΚΟ - Ε321,ΔΥΟ ΚΑΤΕΥΘΥΝΣΕΙΣ,2035,1715,1347,209,91,25,43
F0505,010,ΑΓΓΛΙΣΙΔΕΣ - ΑΝΑΦΩΤΙΑ,ΑΓΓΛΙΣΙΔΕΣ - ΑΝΑΦΩΤΙΑ,ΔΥΟ ΚΑΤΕΥΘΥΝΣΕΙΣ,985,693,272,275,114,25,7
F0506,010,ΜΕΝΟΓΙΑ - ΑΛΑΜΙΝΟΣ,ΜΕΝΟΓΙΑ - ΑΛΑΜΙΝΟΣ,ΔΥΟ ΚΑΤΕΥΘΥΝΣΕΙΣ,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
F0602,010,ΚΑΝΤΟΥ - ΣΩΤΗΡΑ,ΚΑΝΤΟΥ - ΣΩΤΗΡΑ,ΔΥΟ ΚΑΤΕΥΘΥΝΣΕΙΣ,376,326,246,55,16,5,5
F0603,010,ΑΓΙΟΣ ΑΜΒΡΟΣΙΟΣ - ΑΓΙΟΣ ΘΕΡΑΠΩΝ,ΑΓΙΟΣ ΑΜΒΡΟΣΙΟΣ - ΑΓΙΟΣ ΘΕΡΑΠΩΝ,ΔΥΟ ΚΑΤΕΥΘΥΝΣΕΙΣ,516,411,155,204,30,11,11
F0604,010,ΚΙΣΣΟΥΣΑ - ΜΑΝΔΡΙΑ,ΚΙΣΣΟΥΣΑ - ΜΑΝΔΡΙΑ,ΔΥΟ ΚΑΤΕΥΘΥΝΣΕΙΣ,945,690,496,66,62,32,34
F0605,010,Ε601 - ΠΟΤΑΜΙΟΥ,Ε601 - ΠΟΤΑΜΙΟΥ,ΔΥΟ ΚΑΤΕΥΘΥΝΣΕΙΣ,178,141,46,78,14,2,2
F0606,010,ΑΥΔΗΜΟΥ - ΠΑΧΝΑ,Β6 ΑΥΔΗΜΟΥ,ΔΥΟ ΚΑΤΕΥΘΥΝΣΕΙΣ,2697,2138,1584,275,177,93,9
F0606,020,ΑΥΔΗΜΟΥ - ΠΑΧΝΑ,ΑΥΔΗΜΟΥ - ΠΡΑΣΤΕΙΟ,ΔΥΟ ΚΑΤΕΥΘΥΝΣΕΙΣ,635,466,320,62,55,25,5
F0606,030,ΑΥΔΗΜΟΥ - ΠΑΧΝΑ,ΠΡΑΣΤΕΙΟ - ΠΑΧΝΑ,ΔΥΟ ΚΑΤΕΥΘΥΝΣΕΙΣ,486,403,312,50,21,14,7
F0606,040,ΑΥΔΗΜΟΥ - ΠΑΧΝΑ,ΠΑΧΝΑ - Ε601,ΔΥΟ ΚΑΤΕΥΘΥΝΣΕΙΣ,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
F0607,010,ΑΥΔΗΜΟΥ - ΠΛΑΤΑΝΙΣΤΕΙΑ,ΑΥΔΗΜΟΥ - ΠΛΑΤΑΝΙΣΤΕΙΑ,ΔΥΟ ΚΑΤΕΥΘΥΝΣΕΙΣ,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
F0608,010,ΑΥΔΗΜΟΥ - ΑΝΩΓΥΡΑ,ΑΥΔΗΜΟΥ - ΑΝΩΓΥΡΑ,ΔΥΟ ΚΑΤΕΥΘΥΝΣΕΙΣ,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
F0609,010,Β6 - ΚΟΛΠΟΣ ΠΙΣΣΟΥΡΙΟΥ,Β6 - ΚΟΛΠΟΣ ΠΙΣΣΟΥΡΙΟΥ,ΔΥΟ ΚΑΤΕΥΘΥΝΣΕΙΣ,2803,2219,929,998,180,71,41
F0610,010,Β6 - ΠΙΣΣΟΥΡΙ,Β6 - ΠΙΣΣΟΥΡΙ,ΔΥΟ ΚΑΤΕΥΘΥΝΣΕΙΣ,2818,2229,932,1003,148,108,38
F0611,010,ΠΙΣΣΟΥΡΙ - ΑΛΕΚΤΩΡΑ,ΠΙΣΣΟΥΡΙ - ΑΛΕΚΤΩΡΑ,ΔΥΟ ΚΑΤΕΥΘΥΝΣΕΙΣ,1262,858,345,311,168,30,5
F0612,010,ΚΟΥΚΛΙΑ - ΔΩΡΑ,ΚΟΥΚΛΙΑ - ΔΩΡΑ,ΔΥΟ ΚΑΤΕΥΘΥΝΣΕΙΣ,2218,1901,930,813,99,36,23
F0614,010,ΜΑΛΛΙΑ - ΔΩΡΑ,ΜΑΛΛΙΑ - ΔΩΡΑ,ΔΥΟ ΚΑΤΕΥΘΥΝΣΕΙΣ,1017,725,463,116,78,52,16
F0616,010,Β6 - ΑΓΙΟΣ ΝΙΚΟΛΑΟΣ,Β6 - ΝΙΚΟΚΛΕΙΑ,ΔΥΟ ΚΑΤΕΥΘΥΝΣΕΙΣ,1199,996,547,348,30,50,22
F0616,020,Β6 - ΑΓΙΟΣ ΝΙΚΟΛΑΟΣ,ΝΙΚΟΚΛΕΙΑ - ΤΡΑΧΥΠΕΔΟΥΛΑ,ΔΥΟ ΚΑΤΕΥΘΥΝΣΕΙΣ,972,758,398,253,41,48,18
F0616,030,Β6 - ΑΓΙΟΣ ΝΙΚΟΛΑΟΣ,ΤΡΑΧΥΠΕΔΟΥΛΑ - ΠΡΑΙΤΩΡΙ,ΔΥΟ ΚΑΤΕΥΘΥΝΣΕΙΣ,653,503,326,101,25,32,18
F0616,040,Β6 - ΑΓΙΟΣ ΝΙΚΟΛΑΟΣ,ΠΡΑΙΤΩΡΙ - ΑΓΙΟΣ ΝΙΚΟΛΑΟΣ,ΔΥΟ ΚΑΤΕΥΘΥΝΣΕΙΣ,613,495,336,99,27,18,14
F0617,010,ΝΙΚΟΚΛΕΙΑ - ΦΙΛΟΥΣΑ,ΝΙΚΟΚΛΕΙΑ - ΧΟΛΕΤΡΙΑ,ΔΥΟ ΚΑΤΕΥΘΥΝΣΕΙΣ,2467,1691,1013,291,177,147,64
F0617,020,ΝΙΚΟΚΛΕΙΑ - ΦΙΛΟΥΣΑ,ΧΟΛΕΤΡΙΑ - ΚΕΛΟΚΕΔΑΡΑ,ΔΥΟ ΚΑΤΕΥΘΥΝΣΕΙΣ,1515,1041,625,179,106,90,41
F0617,030,ΝΙΚΟΚΛΕΙΑ - ΦΙΛΟΥΣΑ,ΚΕΛΟΚΕΔΑΡΑ - ΣΑΛΑΜΙΟΥ,ΔΥΟ ΚΑΤΕΥΘΥΝΣΕΙΣ,804,546,323,95,57,49,23
F0617,040,ΝΙΚΟΚΛΕΙΑ - ΦΙΛΟΥΣΑ,ΣΑΛΑΜΙΟΥ - ΜΕΣΑΝΑ,ΔΥΟ ΚΑΤΕΥΘΥΝΣΕΙΣ,267,178,101,32,21,17,7
F0617,050,ΝΙΚΟΚΛΕΙΑ - ΦΙΛΟΥΣΑ,ΜΕΣΑΝΑ - ΦΙΛΟΥΣΑ,ΔΥΟ ΚΑΤΕΥΘΥΝΣΕΙΣ,125,84,46,18,11,7,2
F0618,010,ΣΑΛΑΜΙΟΥ - ΑΡΜΙΝΟΥ,ΣΑΛΑΜΙΟΥ - ΑΡΜΙΝΟΥ,ΔΥΟ ΚΑΤΕΥΘΥΝΣΕΙΣ,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
F0619,010,ΣΑΛΑΜΙΟΥ - ΑΓΙΟΣ - ΙΩΑΝΝΗΣ,ΣΑΛΑΜΙΟΥ - ΑΓΙΟΣ - ΙΩΑΝΝΗΣ,ΔΥΟ ΚΑΤΕΥΘΥΝΣΕΙΣ,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
F0622,010,Β6 - ΑΞΥΛΟΥ,Β6 - ΤΙΜΗ,ΔΥΟ ΚΑΤΕΥΘΥΝΣΕΙΣ,1682,1573,769,749,25,18,11
F0622,020,Β6 - ΑΞΥΛΟΥ,ΤΙΜΗ - ΑΝΑΡΙΤΑ,ΔΥΟ ΚΑΤΕΥΘΥΝΣΕΙΣ,454,358,156,154,25,16,7
F0622,030,Β6 - ΑΞΥΛΟΥ,ΑΝΑΡΙΤΑ - ΑΞΥΛΟΥ,ΔΥΟ ΚΑΤΕΥΘΥΝΣΕΙΣ,303,226,95,92,25,7,7
F0623,010,ΠΕΝΤΑΛΙΑ - ΑΓΙΑ ΜΑΡΙΝΑ,ΠΕΝΤΑΛΙΑ - ΑΓΙΑ ΜΑΡΙΝΑ,ΔΥΟ ΚΑΤΕΥΘΥΝΣΕΙΣ,528,393,129,197,40,23,5
F0624,010,ΠΕΝΤΑΛΙΑ - ΚΟΙΛΙΝΙΑ,ΠΕΝΤΑΛΙΑ - ΚΟΙΛΙΝΙΑ,ΔΥΟ ΚΑΤΕΥΘΥΝΣΕΙΣ,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
F0625,010,ΣΤΑΤΟΣ - ΑΓΙΟΣ ΦΩΤΙΟΣ,ΣΤΑΤΟΣ - ΑΓΙΟΣ ΦΩΤΙΟΣ,ΔΥΟ ΚΑΤΕΥΘΥΝΣΕΙΣ,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
F0626,010,ΣΤΑΤΟΣ - ΑΜΠΕΛΙΤΗΣ,ΣΤΑΤΟΣ - ΑΜΠΕΛΙΤΗΣ,ΔΥΟ ΚΑΤΕΥΘΥΝΣΕΙΣ,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
F0627,010,ΕΡΗΜΗ - ΕΠΙΣΚΟΠΗ,ΕΡΗΜΗ - ΕΠΙΣΚΟΠΗ,ΔΥΟ ΚΑΤΕΥΘΥΝΣΕΙΣ,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
F0628,010,ΚΟΛΟΣΣΙ - ΦΑΣΟΥΡΙ,ΚΟΛΟΣΣΙ - Μ1,ΔΥΟ ΚΑΤΕΥΘΥΝΣΕΙΣ,3618,2995,2272,413,125,78,108
F0628,020,ΚΟΛΟΣΣΙ - ΦΑΣΟΥΡΙ,Μ1 - ΦΑΣΟΥΡΙ,ΔΥΟ ΚΑΤΕΥΘΥΝΣΕΙΣ,4637,3780,2234,1117,239,64,125
F0629,010,ΠΡΑΣΤΕΙΟ - ΤΡΑΧΥΠΕΔΟΥΛΑ,ΠΡΑΣΤΕΙΟ - ΤΡΑΧΥΠΕΔΟΥΛΑ,ΔΥΟ ΚΑΤΕΥΘΥΝΣΕΙΣ,146,109,66,25,7,7,5
F0633,010,ΖΑΚΑΚΙ - LADY'S MILE,ΖΑΚΑΚΙ - LADY'S MILE,ΔΥΟ ΚΑΤΕΥΘΥΝΣΕΙΣ,2810,2750,2204,516,11,5,14
F0642,010,ΑΜΠΕΛΙΤΗΣ - ΑΓΙΟΣ ΦΩΤΙΟΣ (ΠΑΡΑΚΑΜΠΤΗΡΙΟΣ),ΑΜΠΕΛΙΤΗΣ - ΑΓΙΟΣ ΦΩΤΙΟΣ (ΠΑΡΑΚΑΜΠΤΗΡΙΟΣ),ΔΥΟ ΚΑΤΕΥΘΥΝΣΕΙΣ,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
F0701,010,Ε701 - Ε706 (ΧΛΩΡΑΚΑ),Ε701 - Ε706 (ΧΛΩΡΑΚΑ),ΔΥΟ ΚΑΤΕΥΘΥΝΣΕΙΣ,3528,3106,2027,869,103,74,34
F0704,010,ΚΑΘΗΚΑΣ - ΑΚΟΥΡΣΟΣ,ΚΑΘΗΚΑΣ - ΑΚΟΥΡΣΟΣ,ΔΥΟ ΚΑΤΕΥΘΥΝΣΕΙΣ,107,93,62,25,2,2,2
F0708,010,ΑΡΟΔΕΣ - ΔΡΟΥΣΙΑ,ΑΡΟΔΕΣ - ΔΡΟΥΣΙΑ,ΔΥΟ ΚΑΤΕΥΘΥΝΣΕΙΣ,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
F0709,010,Ε709 - ΚΡΗΤΟΥ ΤΕΡΡΑ,Ε709 - ΚΡΗΤΟΥ ΤΕΡΡΑ,ΔΥΟ ΚΑΤΕΥΘΥΝΣΕΙΣ,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
F0711,010,Β7 - ΜΕΣΟΓΗ,Β7 - ΜΕΣΟΓΗ,ΔΥΟ ΚΑΤΕΥΘΥΝΣΕΙΣ,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
F0712,010,ΛΟΥΚΡΟΥΝΟΥ - ΑΓΙΟΣ ΔΗΜΗΤΡΙΑΝΟΣ,ΣΙΜΟΥ - ΑΓΙΟΣ ΔΗΜΗΤΡΙΑΝΟΣ,ΔΥΟ ΚΑΤΕΥΘΥΝΣΕΙΣ,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
F0713,010,Ε710 - ΑΡΜΟΥ,Ε710 - ΑΡΜΟΥ,ΔΥΟ ΚΑΤΕΥΘΥΝΣΕΙΣ,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
F0715,010,ΜΕΣΟΓΗ - ΜΕΣΑ ΧΩΡΙΟ,ΜΕΣΟΓΗ - ΜΕΣΑ ΧΩΡΙΟ,ΔΥΟ ΚΑΤΕΥΘΥΝΣΕΙΣ,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
F0716,010,Β7 - ΚΟΙΛΗ,Β7 - ΚΟΙΛΗ,ΔΥΟ ΚΑΤΕΥΘΥΝΣΕΙΣ,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
F0717,010,Ε702 - ΚΑΛΛΕΠΕΙΑ,Ε702 - ΚΑΛΛΕΠΕΙΑ,ΔΥΟ ΚΑΤΕΥΘΥΝΣΕΙΣ,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
F0720,010,Ε702 - ΠΙΤΤΑΡΓΟΥ,Ε702 - ΠΙΤΤΑΡΓΟΥ,ΔΥΟ ΚΑΤΕΥΘΥΝΣΕΙΣ,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
F0722,010,ΧΟΥΛΟΥ - ΑΜΑΡΓΕΤΗ,ΧΟΥΛΟΥ - ΛΕΜΟΝΑ,ΔΥΟ ΚΑΤΕΥΘΥΝΣΕΙΣ,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
F0722,020,ΧΟΥΛΟΥ - ΑΜΑΡΓΕΤΗ,ΛΕΜΟΝΑ - ΑΜΑΡΓΕΤΗ,ΔΥΟ ΚΑΤΕΥΘΥΝΣΕΙΣ,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
F0723,010,ΧΟΥΛΟΥ - ΣΤΑΤΟΣ,ΧΟΥΛΟΥ - ΣΤΑΤΟΣ,ΔΥΟ ΚΑΤΕΥΘΥΝΣΕΙΣ,749,539,348,87,75,25,5
F0725,010,Ε703 - ΦΟΙΤΗ,Ε703 - ΦΟΙΤΗ,ΔΥΟ ΚΑΤΕΥΘΥΝΣΕΙΣ,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
F0726,010,ΠΑΝΑΓΙΑ - ΚΟΙΛΑΔΑ ΚΕΔΡΩΝ,ΠΑΝΑΓΙΑ - ΚΟΙΛΑΔΑ ΚΕΔΡΩΝ,ΔΥΟ ΚΑΤΕΥΘΥΝΣΕΙΣ,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
F0728,010,Ε712 - ΔΡΥΜΗ - ΔΡΥΜΟΥ,Ε712 - ΔΡΥΜΗ,ΔΥΟ ΚΑΤΕΥΘΥΝΣΕΙΣ,290,203,134,25,25,7,11
F0729,010,Ε712 - ΔΡΥΝΙΑ,Ε712 - ΔΡΥΝΙΑ,ΔΥΟ ΚΑΤΕΥΘΥΝΣΕΙΣ,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
