IDENT;HPM_VAL;HPS_VAL;MJO_VAL;HPM_%;HPS_%;MJO_%;PL_VAL;PL_%;VIT_VAL;VIT_EVO;COMMENT;NOM_VOIE;SENS_CIR;V85_VL;V85_PL
Z26AE;684;702;9318;-8.6;-3.7;1.8;422;-0.8;36;10.4;;Bègles rte de Courréjean;Sens Entrant;;
Z26BS;103;215;2454;-41.4;15.3;15.1;39;-8.3;29;5.8;;Bègles 98 Rue Alexis Capelle;Sens Sortant;;
Z27AE;386;634;6682;-30.0;20.2;9.4;259;1.8;39;-2.5;;Pessac Av. Pasteur niveau rocade;Sens Entrant;;
Z27BE;321;562;5754;-14.2;6.1;3.6;300;4.2;49;1.5;;Pessac Av. Haut-Lévêque;Sens Entrant;;
Z27BS;415;465;5477;-27.4;4.2;-2.3;289;-0.6;55;0.6;;Pessac Av. Haut-Lévêque;Sens Sortant;;
Z29BE;1939;1624;20650;0.3;-1.4;-1.4;683;3.6;49;15.8;;Bordeaux Blvd Joliot Curie après Benauge;Sens Entrant;;
Z29CE;1960;1297;18507;9.8;2.1;10.7;767;22.3;37;24.3;;Cenon Blvd de l'Entre-deux-Mers;Sens Entrant;;
Z29DE;748;567;8802;-15.9;-18.7;-5.2;346;5.7;30;2.1;;Cenon Av. Jean Zay / bretelle rocade;Sens Entrant;;
Z29DS;368;727;7404;-15.5;-13.7;-14.1;307;-4.5;33;8.7;;Cenon Av. Jean Zay / bretelle rocade;Sens Sortant;;
Z30DSN;362;460;6287;-26.0;-3.4;0.4;190;11.6;41;12.7;;Mérignac 66 Av.Pierre Mendès France;Sens Pessac vers Mérignac;;
Z30FNS;428;558;6678;-6.6;-22.4;-7.9;633;2.2;58;-1.9;;Mérignac Roland GARROS;Nord > Sud;;
Z30FSN;589;541;7247;-33.9;-6.6;-6.3;696;11.5;52;-3.4;;Mérignac Roland GARROS;Sud > Nord;;
Z30GE;880;898;12146;17.4;24.6;7.9;1200;8.4;62;-1.0;;Mérignac Av. François Mitterrand;Sens Entrant;;
Z32AE;567;630;7449;-1.5;11.2;11.3;412;4.3;46;-1.7;;Floirac 35 Av. Gaston Cabannes;Sens Entrant;;
Z35AE;1044;821;11821;;7.2;13.1;570;33.2;46;5.1;;Ambares Av. de la Libération;Sens Entrant;;
Z10CT12;478;334;5636;-2.2;-13.1;-2.7;;;;;;Bordeaux Rue Saignat avant Pl Campeyrau;Sens Sortant;;
Z10CT14;556;450;7619;-18.7;-28.1;-20.7;;;;;;Bordeaux Rue Saignat après Pl Campeyrau;Sens Entrant;;
Z10CT15;392;406;5454;10.0;-0.7;8.9;;;;;;Talence Cours Galliéni après XIV Juillet;Sens Entrant;;
Z10CT18;914;768;12010;-5.2;-3.9;-1.6;;;;;;Bordeaux Béchade après Quintin;Sens Entrant;;
Z10CT21;602;647;10162;-2.3;-0.1;2.1;;;;;;Bordeaux Tauzin après Haut Brion;Sens Entrant;;
Z10CT7;642;567;7614;-1.9;2.4;8.1;;;;;;Talence 35 Cours Galliéni;Sens Sortant;;
Z11CT12;899;814;12323;-18.1;-17.5;-9.5;;;;;;Bordeaux Blvd Roosevelt avant Jaurès;Sud > Nord;;
Z11CT16;466;415;5092;19.9;9.9;11.6;;;;;;Talence Cours Gambetta après Roustaing;Sens Sortant;;
Z11CT7;439;415;5263;17.5;12.4;16.1;;;;;;Bordeaux Rue St Genès après Ségur;Sens Sortant;;
Z11CT8;263;283;3317;21.2;6.7;10.9;;;;;;Talence Cours Gambetta avant Combes;Sens Sortant;;
Z12CT1;387;401;6245;-3.2;-11.5;7.3;;;;;;Bordeaux Cours de la Somme après Monsarrat;Sens Sortant;;
Z12CT10;658;746;9920;-3.5;-7.5;-3.7;;;;;;Bordeaux Blvd Albert 1er après Cabié;Nord > Sud;;
Z12CT16;426;338;4168;8.9;16.7;8.9;;;;;;Bordeaux Rue de Bègles après Vaucouleur;Sens Entrant;;
Z12CT4;738;762;8891;-4.7;-7.7;-17.7;;;;;;Bordeaux Rte Toulouse après Suzon;Sens Sortant;;
Z12CT7;648;616;8936;2.7;-0.1;1.6;;;;;;Bordeaux Cours de la Somme après Brun;Sens Entrant;;
Z12CT9;635;607;8913;-5.9;-18.6;-10.3;;;;;;Bordeaux Blvd Roosevelt avant Toulouse;Nord > Sud;;
Z13CT10;505;484;7264;-3.0;8.0;22.5;;;;;;Bordeaux Rue Carnot sens entrant;Sens Entrant;;
Z13CT15;437;484;5225;55.5;50.5;40.9;;;;;;Bordeaux Rue de Tivoli;Sens Sortant;;
Z13CT20;340;427;5515;1.3;-2.1;7.8;;;;;;Bordeaux Av. d'Eysines avant F. Faure;Sens Sortant;;
Z13CT3;887;827;10541;-19.9;-22.1;-35.8;;;;;;Bordeaux Blvd Wilson après Eysines;Nord > Sud;;
Z13CT4;937;822;15263;-17.5;-25.7;-13.0;;;;;;Bordeaux Blvd Wilson après Colmar;Sud > Nord;;
Z13CT5;1577;1400;27392;14.7;-0.3;25.5;;;;;;Bordeaux Blvd Wilson après Carnot;Sud > Nord;;
Z14CT17;855;793;10813;4.0;-0.7;3.3;;;;;;Bordeaux Rue L. Faure;Sens Sortant;;
Z14CT18;256;217;3287;-17.1;-18.9;-8.1;;;;;;Bordeaux Quai de Bacalan après L. Faure;Sud > Nord;;
Z14CT21;306;321;5564;-22.0;-29.1;-17.0;;;;;;Bordeaux Boulevard Alfred Daney;Sens Sortant;;
Z14CT23;503;540;7135;-5.5;-5.8;2.8;;;;;;Bordeaux Brazza avant le pont;Sud > Nord;;
Z14CT24;900;712;11064;4.9;3.6;9.5;;;;;;Bordeaux Brazza avant le pont;Nord > Sud;;
Z14CT7;1361;1334;24201;;;;;;;;;Bordeaux Blvd Daney avant Latule;Sud > Nord;;
Z14CT8;1613;1983;25990;-13.7;-19.5;-4.6;;;;;;Bordeaux Blvd A d'Aquitaine après Latule;Sens Sortant;;
Z15CT3;475;455;7517;1.2;-2.3;5.6;;;;;;Bordeaux Cours Portal avant Doumer;Nord > Sud;;
Z15CT4;420;395;6610;0.7;0.7;6.7;;;;;;Bordeaux Cours de Verdun après Doumer;Nord > Sud;;
Z15CT5;358;395;5243;22.0;26.9;21.6;;;;;;Bordeaux Cours Martinique après Portal;Sens Sortant;;
Z16CT10;478;569;6102;0.2;7.1;5.5;;;;;;Pessac Rue Pénard avant Cohé;Sens Sortant;;
Z17CT10;1010;1218;15062;-0.3;11.3;7.1;;;;;;Talence Cours de la Libération;Sens Entrant;;
Z17CT12;240;279;2751;;;;;;;;;Talence Rue Lamartine avant Paré;Sens Entrant;;
Z17CT2;353;423;5210;-16.5;-5.2;-17.9;;;;;;Talence Cours de la Libération après Bdx 1;Sens Sortant;;
Z17CT7;413;452;5963;15.4;7.2;6.7;;;;;;Talence Libération après Suzon;Sens Entrant;;
Z18CT5;331;394;4279;-9.1;-9.4;-14.3;;;;;;Gradignan Gal de Gaulle avant platanes;Sens Entrant;;
Z19CT1;663;724;9631;;;;;;;;;Bègles Rte de Toulouse aprés Sévène;Sens Sortant;;
Z19CT8;716;683;10122;0.3;2.6;2.4;;;;;;Bègles Route de Toulouse;Sens Entrant;;
Z19CT9;385;535;7677;;;;;;;;;Villenave d'Ornon Leclerc après rocade;Sens Entrant;;
Z1CT1;801;787;11557;8.2;-3.7;7.2;;;;;;Bordeaux 17 Quai Louis XVIII Ferrère;Nord > Sud;;
Z1CT11;736;611;9969;1.2;-7.5;12.9;;;;;;Bordeaux Quai Chartrons après  Latour;Sud > Nord;;
Z1CT14;579;556;8362;17.7;5.2;13.1;;;;;;Bordeaux Quai Chartrons apres Hangar 14;Nord > Sud;;
Z1CT5;1411;1142;17546;0.3;3.4;9.3;;;;;;Bordeaux Quai Richelieu  Cailhau/Bourse;Sud > Nord;;
Z1CT6;323;329;5440;-13.2;-4.7;0.0;;;;;;Bordeaux Montée Pont de Pierre;Sens Sortant;;
Z1CT9;678;629;9921;12.5;4.4;14.3;;;;;;Bordeaux Quai Chartrons ap Martinique;Nord > Sud;;
Z20CT3;513;595;6896;8.6;-3.9;-1.8;;;;;;Bordeaux Av. du Maréchal de Lattre de Tassigny;Sens Sortant;;
Z21CT1;366;417;4552;21.4;21.5;21.7;;;;;;Bordeaux Av. Libération avant Poincaré;Sens Sortant;;
Z21CT3;384;385;4963;2.8;-0.1;4.9;;;;;;Bordeaux Av. Libération après le carrefour, avant la Rue des Ecus;Sens Sortant;;
Z22CT10;218;262;2951;13.1;3.6;1.9;;;;;;Lormont Dupin après Tallavi;Pt Aquit> av de Paris;;
Z22CT13;1028;1033;18151;23.5;18.6;14.4;;;;;;Cenon Rue de l'Amitié;Sens Sortant;;
Z22CT4;1152;1016;15070;5.4;6.2;5.7;;;;;;Artigues Av. Kennedy avant 4 Pavillons;Sens Entrant;;
Z22CT8;981;743;8891;-3.0;-0.5;-21.2;;;;;;Cenon Av. Carnot après 4 Pavillons;Sens Entrant;;
Z23CT10;622;635;9168;3.2;2.7;4.8;;;;;;Eysines Av. du Médoc avant C. du Vigean;Sens Entrant;;
Z23CT13;183;225;2630;-4.1;5.6;4.7;;;;;;Bruges Av. Charles de Gaulle;Sud > Nord;;
Z23CT6;318;313;4889;-5.0;-13.1;-5.5;;;;;;Eysines Av. du Médoc avant rte Pauillac;Sens Entrant;;
Z23CT9;458;432;5114;3.2;12.9;7.4;;;;;;Le Bouscat Av. de l'Hippodrome avant la route du Médoc;Sud > Nord;;
Z24CT12;820;922;11817;0.1;-4.4;0.9;;;;;;Le Haillan Magudas avant rocade;Sens Entrant;;
Z24CT14;307;263;5154;-14.7;-2.6;0.2;;;;;;Le Haillan Mermoz avant Magudas;Nord > Sud;;
Z24CT3;639;722;8058;20.8;15.3;25.1;;;;;;Le Haillan Av. Pasteur après Los Heros;Sens Sortant;;
Z24CT8;1535;1221;17417;3.8;-2.9;5.7;;;;;;Mérignac Magudas avant rocade;Sens Sortant;;
Z25CT11;648;784;7403;11.2;7.0;3.2;;;;;;Bordeaux All. Boutaut avant Claudeville;Sens Entrant;;
Z25CT17;73;227;2116;2.0;19.0;3.7;;;;;;Bordeaux Quebec avant Royer;Nord > Sud;;
Z25CT18;253;513;3605;40.3;27.8;19.6;;;;;;Bordeaux Domergue S>N avant rocade;Sud > Nord;;
Z25CT20;399;400;4133;-1.4;-15.6;-8.8;;;;;;Bordeaux Bricaud S>N avant vélodrome;Sud > Nord;;
Z25CT22;106;223;2737;-14.5;-2.5;0.8;;;;;;Bordeaux Brunet  apres Brandenbourg;Sud > Nord;;
Z25CT5;373;221;2726;-2.6;-25.3;-15.6;;;;;;Bordeaux Cours Bricaud après Vergne;Sens Sortant;;
Z25CT6;282;420;5483;16.3;-2.1;9.9;;;;;;Bordeaux Av. 40 Journaux avant Tobeen;Sud > Nord;;
Z26CT3;293;205;3866;;;;;;;;;Bordeaux Armagnac avant Rue Beck;Sens Sortant;;
Z27CT1;576;608;7699;-5.3;7.1;7.6;;;;;;Pessac Av. Leclerc avant Félix Faure;Sens Entrant;;
Z27CT12;550;629;8331;-12.6;1.5;4.0;;;;;;Pessac Av. Leclerc avant Meyraud;Sens Entrant;;
Z27CT15;154;275;2106;1.2;6.1;-4.7;;;;;;Pessac Av. de Canéjan;Sens Entrant;;
Z27CT4;498;709;8933;18.1;2.4;16.7;;;;;;Pessac Av. Leclerc après Félix Faure;Sens Sortant;;
Z27CT7;431;507;5280;8.2;5.5;7.8;;;;;;Pessa Av. du bourgailh après Socrate;Nord > Sud;;
Z27CT9;560;709;9245;-21.8;-20.8;-7.7;;;;;;Pessac Av. du Bourghail après Monbalon;Nord > Sud;;
Z28CT1;217;659;7301;-7.2;0.4;0.2;;;;;;St Medard Av. Descartes avant T. Gautier;Sens Sortant;;
Z28CT2;389;1152;10384;-3.2;4.2;1.3;;;;;;St Medard Av. Montaigne avant Turon;Sens Sortant;;
Z28CT3;182;389;4735;-2.7;-11.5;-4.5;;;;;;St Médard Av. Montaigne;Sens Sortant;;
Z28CT8;602;549;7487;7.5;-0.1;2.3;;;;;;St Médard Av. Descartes après Gauthier;Sens Entrant;;
Z29CT13;169;227;2641;6.1;2.9;10.1;;;;;;Floirac Av. Clémenceau après Dubedout;Sud > Nord;;
Z29CT4;231;179;2578;5.4;11.6;14.3;;;;;;Bordeaux Rue Galin;Sens Entrant;;
Z29CT9;484;323;4332;8.6;1.2;10.2;;;;;;Floirac Dubedout avant Allende;Sens Entrant;;
Z2CT1;156;213;3074;;;;;;;;;Bordeaux Cours Pasteur Hugo/Dubergier;Sud > Nord;;
Z2CT11;552;480;8307;-3.3;3.2;6.3;;;;;;Bordeaux Cours d'Albret après République;Sud > Nord;;
Z2CT18;249;369;4598;-11.9;-9.1;-4.8;;;;;;Bordeaux Cours V. Hugo après Cours Pasteur;Sens Sortant;;
Z2CT20;89;159;2490;-6.1;7.1;7.6;;;;;;Bordeaux Montée place Bir Hakeim;Bretelle Nord > Sud Montée vers pl Bir Hakeim;;
Z2CT23;309;478;6197;67.1;57.5;86.2;;;;;;Bordeaux Rue de Belfort après Juin;Nord > Sud;;
Z2CT3;528;620;9720;0.8;15.1;14.9;;;;;;Bordeaux Cours V Hugo Bir Hakeim/Rousselle;Sens Entrant;;
Z2CT9;604;642;10923;0.3;17.9;27.3;;;;;;Bordeaux Cours V. Hugo Ste Catherine;Sens Entrant;;
Z30CT13;495;505;6534;4.8;1.0;1.3;;;;;;Mérignac Av. Mendès-France;Sud > Nord;;
Z30CT20;133;432;3136;-4.5;16.2;-5.4;;;;;;Mérignac Av. Maréchal Leclerc;Sud > Nord;;
Z30CT9;367;291;4304;-33.4;-34.2;-33.3;;;;;;Mérignac Av. de la Marne après M. France;Sens Sortant;;
Z31CT2;523;928;10495;4.2;3.2;9.9;;;;;;Bassens Côte de la Garonne;Nord > Sud;;
Z31CT3;246;323;4364;-1.8;8.6;10.3;;;;;;Bassens Route de Bassens;Nord > Sud;;
Z3CT1;147;155;1965;;;;;;;;;Bordeaux Rue de Pessac après A. Larrieu;Sens Entrant;;
Z3CT11;364;386;6944;-20.0;-14.5;-4.7;;;;;;Bordeaux Cours Marne après Capucins;Marne vers Victoire;;
Z3CT5;364;347;6576;-23.2;-33.4;-15.9;;;;;;Bordeaux Cours Briand;Vers Victoire;;
Z3CT8;278;253;4581;-11.5;5.9;8.5;;;;;;Bordeaux Cours Marne après Victoire;Marne vers la gare;;
Z4CT1;613;530;9080;-11.1;-11.6;-4.4;;;;;;Bordeaux Cours de Verdun angle d'Aviau;Nord > Sud;;
Z4CT12;104;124;1909;;;;;;;;;Bordeaux Rue Capdeville après Judaïque;Sens Sortant;;
Z4CT13;466;502;6393;12.3;21.0;15.3;;;;;;Bordeaux Bonnac entrant après Sourdis;Centre Ville Entrant;;
Z4CT19;308;313;5166;8.0;3.8;10.3;;;;;;Bordeaux Rue N.-Pénard après Michelet;Nord > Sud;;
Z4CT2;391;293;7298;-16.3;-22.7;1.3;;;;;;Bordeaux Allées de Tourny;Place de la Comédie > place Tourny;;
Z4CT23;306;378;5228;6.5;3.5;6.4;;;;;;Bordeaux Cours de Verdun avant Doumer;Sens Sortant;;
Z4CT3;646;597;10304;-0.4;0.9;7.0;;;;;;Bordeaux Cours Clémenceau après Monbadon;Nord > Sud;;
Z4CT5;37;56;939;-3.1;3.8;13.5;;;;;;Bordeaux Cours de Tournon après la Rue Boudet;Place des Quinconces > place Tourny;;
Z4CT9;347;280;5224;1.4;-2.6;0.7;;;;;;Bordeaux 20 Rue Judaïque;Sens Sortant;;
Z5CT11;411;367;5685;-9.0;-1.2;-5.6;;;;;;Bordeaux Rue Peyronnet après Tauzia;de Tauzia > Marne;;
Z5CT13;463;374;7229;57.0;23.3;37.8;;;;;;Bordeaux Cours de la Marne avant Meunier;Nord > Sud;;
Z5CT4;777;635;8308;1.4;14.3;11.9;;;;;;Bordeaux Quai Souys Mattéoti/Sembat;Quais rive Droite Sud > Nord;;
Z5CT6;898;728;9403;15.5;21.6;20.8;;;;;;Bordeaux Quai de Paludate;Sens Entrant vers gare;;
Z6CT1;1006;893;15056;-7.7;-7.8;-6.9;;;;;;Bordeaux Blvd Wilson Pasteur/Ferry;Boulevards Nord > Sud;;
Z6CT13;436;343;4268;31.1;17.4;25.5;;;;;;Bordeaux Rue Mandel après Chevalier;Sens Entrant;;
Z6CT18;299;237;3258;11.4;10.0;5.5;;;;;;Bordeaux Rue Bernard Adour après Liberté;Sens Entrant;;
Z6CT19;763;798;10181;-9.3;-9.2;-8.4;;;;;;Bordeaux Av. République après Bel Air;Sens Sortant;;
Z6CT3;894;1021;15886;2.1;2.7;9.9;;;;;;Bordeaux Blvd Antoine Gautier avant Arès;Boulevards Sud > Nord;;
Z6CT8;653;521;6953;4.0;2.6;7.3;;;;;;Mérignac Av. d'Arès avant Mondésir;Sens Entrant;;
Z7CT13;158;116;1862;-9.6;-6.4;3.7;;;;;;Mérignac Tassigny après Aimé Césaire;sens sortant;;
Z7CT15;426;411;5249;14.1;-9.2;8.6;;;;;;Mérignac Av. du Chut;Sens Entrant;;
Z7CT6;176;253;3261;;;;;;;;;Mérignac Av. de Verdun après Rostand;Sens Entrant;;
Z7CT7;352;215;2701;-9.3;-26.6;-32.0;;;;;;Mérignac Av. Libération après Truc;Nord > Sud;;
Z8CT13;116;151;1846;5.1;7.6;8.0;;;;;;Bordeaux Av. Thiers après Stalingrad;Sens Sortant;;
Z8CT14;343;232;3402;-12.5;0.6;-1.3;;;;;;Bordeaux Rue Sem;Sud > Nord;;
Z8CT15;415;565;5861;24.3;-4.3;5.7;;;;;;Bordeaux Rue Sem;Nord > Sud;;
Z8CT17;448;337;6495;-21.8;-29.3;-14.1;;;;;;Bordeaux Rue Carnot;Sens Entrant;;
Z8CT18;214;255;3104;-25.9;-8.1;-4.7;;;;;;Bordeaux bretelle Pont St Emilion;Sens Entrant;;
Z8CT4;344;281;4519;2.9;-0.1;7.7;;;;;;Bordeaux Av. Thiers après Galin;Sens Entrant;;
Z8CT9;444;569;6990;11.2;12.5;0.2;;;;;;Cenon Av. Jean Jaurès;Sens Sortant;;
Z9CT14;461;513;7288;2.6;10.2;8.0;;;;;;Mérignac Av. de Peychotte avant Riaud;Sens Entrant;;
Z9CT16;437;552;7385;18.7;4.6;13.5;;;;;;Mérignac Av. François Mitterrand;Sens Sortant;;
Z9CT17;461;504;7566;0.3;5.2;9.1;;;;;;Mérignac Av .Mitterrand après C. Vic;Sens Sortant;;
Z9CT18;635;669;9711;-2.7;1.0;6.1;;;;;;Bordeaux Blvd G Pompidou après Despagnet;Sens Entrant;;
Z9CT3;807;891;12108;-13.6;-2.5;-6.7;;;;;;Bordeaux Blvd Leclerc après Lecoq;Boulevards Sud > Nord;;
